Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country,Age,Dependents,Total_Food,Length_customer_yrs,Tot_Num_Purchases
PhD,Divorced,65808.0,1,1,1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,0,0,SP,51,2,262,8.13,11.0
Graduation,Couple,79529.0,0,0,1,423,42,706,73,197,197,1,4,8,9,2,0,0,0,0,0,0,0,CA,36,0,1441,8.22,21.0
PhD,Couple,34578.0,2,1,1,7,0,1,0,0,0,1,1,0,2,6,0,0,0,0,0,0,0,AUS,50,3,8,8.26,3.0
PhD,Couple,46374.0,0,1,1,408,0,21,0,0,17,3,7,1,7,8,0,1,0,1,0,1,0,IND,48,1,429,8.33,15.0
Graduation,Couple,18351.0,0,0,1,1,12,9,0,14,7,1,2,0,3,7,0,0,0,0,0,0,0,SP,32,0,36,8.71,5.0
PhD,Single,95169.0,0,0,1,1285,21,449,106,20,20,1,4,3,4,1,0,0,1,1,0,1,0,SP,35,0,1881,8.77,11.0
2n Cycle,Couple,65370.0,0,0,1,71,22,112,138,89,29,1,2,3,13,1,0,0,0,0,0,0,0,SP,38,0,432,8.96,18.0
Master,Divorced,39228.0,0,0,1,7,1,6,0,3,3,1,0,0,3,4,0,0,0,0,0,0,0,SA,62,0,17,9.18,3.0
PhD,Single,84865.0,0,0,1,1248,16,349,43,16,16,1,2,4,9,4,0,1,1,1,1,1,0,SP,61,0,1672,9.19,15.0
Graduation,Couple,61314.0,0,1,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,0,SP,54,1,836,9.22,22.0
Graduation,Single,21359.0,1,0,1,12,2,17,6,1,10,2,2,0,3,8,0,0,0,0,0,1,0,CA,50,1,38,9.24,5.0
PhD,Couple,66465.0,0,1,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,0,1,0,0,0,SP,67,1,1471,9.3,32.0
2n Cycle,Single,81698.0,0,0,1,709,45,115,30,160,45,1,8,2,5,5,0,0,0,1,0,1,0,SP,39,0,1059,9.38,15.0
Graduation,Single,39146.0,1,0,1,94,1,33,13,12,12,3,4,0,4,8,0,0,0,0,0,0,0,SP,36,1,153,9.42,8.0
2n Cycle,Divorced,25959.0,1,1,1,4,2,12,7,5,26,2,1,2,2,6,0,0,0,0,0,1,0,SP,52,2,30,9.42,5.0
Graduation,Couple,64260.0,0,0,1,539,169,816,20,0,30,1,4,5,4,3,0,0,0,0,0,1,0,SP,61,0,1544,9.51,13.0
Graduation,Couple,32300.0,1,0,1,13,3,6,6,5,6,1,1,0,3,8,0,0,0,0,0,0,0,SP,49,1,33,9.53,4.0
Master,Couple,74806.0,0,1,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,AUS,57,1,956,9.57,14.0
Graduation,Divorced,72967.0,0,1,1,158,35,179,0,0,125,2,7,2,8,5,1,0,0,0,0,1,0,GER,52,1,372,9.58,17.0
Graduation,Single,48904.0,0,1,1,283,10,38,0,13,27,4,7,2,4,8,0,0,0,0,0,0,0,US,62,1,344,9.62,13.0
2n Cycle,Couple,14796.0,1,0,1,13,3,8,7,4,16,2,1,0,3,9,0,0,0,0,0,1,0,GER,38,1,35,9.83,4.0
Master,Couple,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,GER,68,0,1241,9.84,18.0
2n Cycle,Single,52195.0,2,1,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,SA,44,3,16,8.18,3.0
Graduation,Couple,90369.0,0,0,2,292,51,981,224,23,17,1,4,6,6,1,0,0,0,0,0,1,0,SP,66,0,1571,8.22,16.0
Basic,Couple,18393.0,1,0,2,7,10,13,16,0,4,2,3,0,3,8,0,0,0,0,0,0,0,SP,48,1,46,8.3,6.0
Graduation,Single,47139.0,1,1,2,46,0,12,0,2,23,2,2,1,2,7,0,0,0,0,0,1,0,SP,70,2,60,8.36,5.0
Master,Couple,38576.0,0,1,2,34,0,7,0,0,0,1,1,0,3,7,0,0,0,0,0,0,0,IND,49,1,41,8.37,4.0
PhD,Couple,61905.0,0,1,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,0,SA,47,1,218,8.44,10.0
Graduation,Couple,83715.0,0,0,2,318,8,407,150,35,8,1,2,8,13,0,0,0,0,0,0,0,0,SA,60,0,918,8.45,23.0
Graduation,Couple,60597.0,0,1,2,522,0,257,32,16,66,4,2,2,8,7,0,0,0,1,0,1,0,SP,58,1,827,8.54,12.0
Master,Single,6560.0,0,0,2,67,11,26,4,3,262,0,1,0,1,17,0,0,0,0,0,0,0,SP,40,0,111,8.59,2.0
Master,Couple,48330.0,0,1,2,28,0,4,0,0,0,1,1,0,3,5,0,0,0,0,0,0,0,SP,61,1,32,8.67,4.0
PhD,Single,38236.0,1,1,2,58,0,18,2,0,10,4,3,0,4,7,0,0,0,0,0,0,0,SP,54,2,78,8.82,7.0
Master,Couple,22701.0,1,0,2,2,4,9,0,4,5,1,1,0,3,5,0,0,0,0,0,0,0,SP,45,1,19,8.86,4.0
Master,Divorced,53367.0,1,1,2,229,7,140,10,3,11,7,5,1,8,7,0,0,0,0,0,1,0,AUS,48,2,389,8.87,14.0
Graduation,Couple,34728.0,1,0,2,14,0,16,0,0,6,1,1,1,2,6,0,0,0,0,0,1,0,SP,36,1,30,8.96,4.0
Master,Couple,63915.0,0,2,2,622,7,115,30,0,15,2,6,3,12,5,0,0,0,0,0,0,0,AUS,66,2,774,8.96,21.0
2n Cycle,Couple,82504.0,0,0,2,362,50,431,134,35,54,1,3,6,7,1,0,0,0,0,0,0,0,IND,62,0,1012,8.97,16.0
PhD,Single,38578.0,1,1,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,1,0,SP,50,2,70,9.07,6.0
PhD,Single,38578.0,1,1,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,0,SP,50,2,70,9.07,6.0
PhD,Couple,79174.0,0,0,2,1074,37,518,193,92,129,1,5,6,7,2,0,0,1,1,0,1,0,CA,47,0,1914,9.51,18.0
2n Cycle,Divorced,81975.0,0,1,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0,SA,60,1,1561,9.53,13.0
Master,Couple,43263.0,0,1,2,262,6,61,0,10,102,3,5,2,6,5,0,0,0,0,0,0,0,SP,45,1,339,9.65,13.0
Graduation,Single,27242.0,1,0,2,3,17,26,20,1,39,2,2,0,3,9,0,0,0,0,0,1,0,IND,52,1,67,9.68,5.0
Graduation,Couple,76445.0,1,0,2,739,107,309,140,80,35,1,2,5,13,6,0,0,0,0,0,0,0,SA,51,1,1375,9.8,20.0
Graduation,Couple,75276.0,0,0,2,610,105,125,137,42,21,1,9,4,9,5,0,0,0,0,0,0,0,SP,57,0,1019,9.8,22.0
Graduation,Widow,34213.0,1,1,2,50,4,28,6,3,26,3,3,1,2,9,0,0,0,0,0,1,0,SA,59,2,91,9.85,6.0
PhD,Couple,72335.0,0,0,2,1285,105,653,28,21,0,1,10,4,8,8,0,0,0,0,0,1,0,SP,46,0,2092,9.92,22.0
Master,Couple,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,AUS,58,0,1661,9.93,28.0
Graduation,Couple,27469.0,0,0,2,9,1,2,3,2,0,1,0,0,3,6,0,0,0,0,0,0,0,CA,75,0,17,9.95,3.0
Graduation,Couple,68695.0,0,0,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,SP,53,0,1051,8.06,15.0
Graduation,Couple,68695.0,0,0,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,CA,53,0,1051,8.06,15.0
Graduation,Single,50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,1,0,GER,65,1,338,8.13,13.0
PhD,Couple,77622.0,0,2,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,0,SA,52,2,700,8.25,20.0
Graduation,Divorced,46102.0,2,1,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,SP,60,3,15,8.35,3.0
2n Cycle,Single,31859.0,1,0,3,3,4,7,15,8,11,1,1,0,3,7,0,0,0,0,0,0,0,SP,42,1,37,8.38,4.0
2n Cycle,Single,23830.0,0,0,3,1,8,6,4,8,16,1,1,0,3,7,0,0,0,0,0,0,0,SP,35,0,27,8.44,4.0
Graduation,Couple,24639.0,1,1,3,20,3,16,0,4,1,3,2,0,4,6,0,0,0,0,0,0,0,AUS,49,2,43,8.46,6.0
PhD,Couple,71604.0,0,0,3,345,53,528,98,75,97,1,8,3,5,4,1,0,0,0,0,1,0,SP,77,0,1099,8.66,16.0
Graduation,Couple,27255.0,1,0,3,22,1,11,0,1,2,1,1,0,3,7,0,0,0,0,0,0,0,SP,38,1,35,8.69,4.0
Graduation,Couple,55375.0,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,CA,45,1,148,8.75,8.0
PhD,Couple,77037.0,0,1,3,463,96,333,168,53,10,1,7,7,12,3,0,0,0,0,0,0,0,SP,62,1,1113,8.76,26.0
Graduation,Single,24163.0,1,1,3,4,1,7,2,1,2,2,1,0,3,4,0,0,0,0,0,0,0,SP,52,2,15,8.76,4.0
PhD,Couple,69476.0,0,0,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0,US,53,0,977,8.79,14.0
Graduation,Couple,72063.0,0,1,3,180,32,348,76,32,90,2,5,2,12,2,0,0,0,0,0,0,0,GER,43,1,668,9.04,19.0
Master,Couple,58646.0,0,1,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,SP,60,1,118,9.1,7.0
Master,Couple,58646.0,0,1,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,GER,60,1,118,9.1,7.0
Master,Widow,47570.0,1,1,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,1,0,US,73,2,90,9.13,6.0
Graduation,Couple,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,AUS,42,1,1293,9.21,19.0
PhD,Single,54998.0,0,1,3,154,22,202,39,30,8,5,4,2,9,4,0,0,0,0,0,1,0,SP,66,1,447,9.35,15.0
PhD,Single,60200.0,0,1,3,502,19,132,0,6,26,6,6,2,11,6,0,0,0,0,0,0,0,SP,74,1,659,9.53,19.0
Graduation,Couple,63211.0,0,0,3,145,193,459,205,26,145,2,3,8,7,2,0,0,0,0,0,1,0,SP,40,0,1028,9.7,18.0
PhD,Single,48432.0,0,1,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,SA,49,1,382,9.74,14.0
PhD,Single,48432.0,0,1,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,0,0,CA,49,1,382,9.74,14.0
PhD,Single,48432.0,0,1,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,IND,49,1,382,9.74,14.0
Master,Couple,62845.0,1,1,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,0,0,SP,73,2,1144,9.79,17.0
Master,Couple,62845.0,1,1,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,1,0,SP,73,2,1144,9.79,17.0
PhD,Couple,65220.0,0,0,3,890,63,292,0,25,12,4,8,4,7,6,0,0,0,0,0,1,0,GER,57,0,1270,9.87,19.0
PhD,Couple,74214.0,0,0,3,863,83,547,86,99,33,1,8,2,5,5,0,0,0,0,0,0,0,SP,32,0,1678,9.89,15.0
2n Cycle,Couple,96547.0,0,0,4,448,21,125,52,101,62,0,7,6,8,2,1,0,1,1,0,1,0,SP,42,0,747,8.15,21.0
Graduation,Couple,53863.0,0,1,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0,SP,67,1,443,8.16,15.0
Graduation,Couple,50447.0,2,0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,IND,52,2,121,8.24,7.0
Graduation,Couple,37716.0,0,1,4,97,1,41,6,2,41,2,4,1,3,7,0,0,0,0,0,0,0,AUS,69,1,147,8.24,8.0
Graduation,Couple,45203.0,2,0,4,35,3,67,10,8,24,1,3,1,3,6,0,0,0,0,0,1,0,SA,40,2,123,8.32,7.0
Master,Couple,37368.0,1,0,4,3,2,11,2,2,10,1,1,0,2,6,1,0,0,0,0,0,0,SP,47,1,20,8.58,3.0
Graduation,Couple,67225.0,0,1,4,315,35,322,46,7,143,3,7,2,11,5,0,0,0,0,0,0,0,US,67,1,725,8.64,20.0
Master,Couple,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,1,0,CA,46,1,1003,8.67,15.0
Master,Couple,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,0,SP,46,1,1003,8.67,15.0
Master,Couple,81698.0,0,0,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,1,0,SP,73,0,961,8.69,24.0
Graduation,Single,70566.0,0,1,4,381,28,215,84,28,21,2,6,5,9,3,0,0,0,0,0,0,0,SP,54,1,736,8.78,20.0
Graduation,Couple,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,GER,64,1,544,8.8,17.0
Graduation,Couple,71434.0,0,1,4,711,36,217,172,96,168,3,7,4,7,4,0,1,0,1,0,0,0,SP,60,1,1232,8.82,18.0
Graduation,Couple,33039.0,1,0,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,SP,44,1,66,8.85,6.0
Graduation,Couple,33039.0,1,0,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,CA,44,1,66,8.85,6.0
Graduation,Couple,46610.0,0,0,4,288,10,30,4,10,125,1,6,1,6,6,0,0,0,0,0,0,0,SP,64,0,342,8.99,13.0
Graduation,Single,49967.0,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,CA,64,1,303,9.02,12.0
Graduation,Couple,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,US,46,2,216,9.14,10.0
Master,Couple,49505.0,1,1,4,604,0,100,19,0,28,9,10,2,8,8,0,0,0,0,0,0,0,SP,51,2,723,9.36,20.0
Master,Couple,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,AUS,76,0,1174,9.4,17.0
Graduation,Divorced,72071.0,0,1,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,SP,68,1,1188,9.42,17.0
Graduation,Divorced,72071.0,0,1,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,CA,68,1,1188,9.42,17.0
Master,Single,59235.0,1,0,4,448,40,469,80,0,91,3,11,2,12,7,0,0,0,0,0,0,0,IND,55,1,1037,9.51,25.0
Graduation,Couple,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,AUS,65,1,19,9.56,3.0
Graduation,Couple,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,SP,65,1,19,9.56,3.0
PhD,Couple,51411.0,2,1,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,GER,65,3,550,9.65,17.0
Graduation,Couple,69209.0,0,0,4,496,32,849,229,48,128,2,5,3,6,4,0,0,0,1,0,0,0,CA,50,0,1654,9.83,14.0
Graduation,Couple,31928.0,1,0,5,33,4,24,4,2,5,2,3,0,4,7,0,0,0,0,0,0,0,IND,33,1,67,8.3,7.0
PhD,Single,74004.0,0,0,5,784,48,560,42,176,48,1,4,6,4,3,0,0,1,1,0,1,0,IND,35,0,1610,8.39,14.0
2n Cycle,Couple,30390.0,0,0,5,10,12,12,25,1,20,1,2,0,3,6,0,0,0,0,0,0,0,IND,35,0,60,8.87,5.0
Graduation,Couple,21355.0,1,0,5,5,13,14,0,5,31,2,2,1,2,6,1,0,0,0,0,1,0,US,37,1,37,8.9,5.0
Graduation,Couple,26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,GER,53,1,12,9.06,3.0
2n Cycle,Couple,85710.0,0,0,5,600,20,350,29,30,33,1,6,9,10,2,0,0,1,0,0,0,0,IND,33,0,1029,9.2,25.0
Graduation,Divorced,102692.0,0,0,5,168,148,444,32,172,148,1,6,9,13,2,0,1,1,1,1,1,0,SA,48,0,964,9.28,28.0
Graduation,Single,58350.0,0,1,5,493,26,206,116,80,80,4,8,3,12,6,0,0,0,0,0,0,0,SP,51,1,921,9.53,23.0
Graduation,Single,7500.0,1,1,5,6,5,4,13,4,25,4,2,1,3,6,0,0,0,0,0,0,0,SP,44,2,32,9.55,6.0
Master,Single,18890.0,0,0,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,1,0,SA,38,0,20,9.68,3.0
Basic,Couple,20425.0,1,0,5,4,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,0,CA,36,1,40,9.71,5.0
Basic,Couple,20425.0,1,0,5,4,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,0,GER,36,1,40,9.71,5.0
PhD,Divorced,41437.0,1,1,5,29,0,2,0,0,1,1,1,0,3,7,0,0,0,0,0,0,0,SP,65,2,31,9.81,4.0
Master,Couple,49912.0,0,1,5,520,8,223,32,49,42,4,10,5,7,8,1,0,0,0,0,1,0,ME,73,1,832,9.85,22.0
Master,Couple,49912.0,0,1,5,520,8,223,32,49,42,4,10,5,7,8,1,0,0,0,0,1,0,AUS,73,1,832,9.85,22.0
Graduation,Couple,79823.0,0,1,6,835,73,380,114,73,43,1,6,9,7,2,0,1,0,0,0,0,0,AUS,63,1,1475,8.29,22.0
Graduation,Divorced,85683.0,0,0,6,1296,17,311,45,69,51,1,2,4,10,1,0,1,1,1,1,1,0,SP,68,0,1738,8.32,16.0
PhD,Divorced,47025.0,1,1,6,16,0,3,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,SP,57,2,19,8.43,3.0
PhD,Couple,68397.0,0,1,6,760,80,466,17,13,80,1,6,9,5,3,0,0,0,0,0,0,0,SA,46,1,1336,8.66,20.0
PhD,Couple,38175.0,1,0,6,70,6,69,2,3,3,3,3,1,4,7,0,0,0,0,0,0,0,SP,38,1,150,8.81,8.0
Master,Single,46423.0,1,1,6,68,0,16,0,0,8,3,2,0,4,7,0,0,0,0,0,0,0,SP,50,2,84,8.82,6.0
Master,Couple,30560.0,1,0,6,9,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,0,0,SA,46,1,24,9.05,4.0
Master,Couple,30560.0,1,0,6,9,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,0,0,CA,46,1,24,9.05,4.0
Graduation,Single,60152.0,0,1,6,325,83,300,86,58,91,1,6,4,12,3,0,0,0,0,0,0,0,SP,43,1,852,9.3,22.0
Graduation,Couple,29672.0,1,1,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0,SA,57,2,17,9.35,3.0
Graduation,Couple,29672.0,1,1,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0,SP,57,2,17,9.35,3.0
Graduation,Couple,70321.0,0,0,6,303,23,751,82,26,191,1,6,5,13,4,0,0,0,0,0,1,0,SP,75,0,1185,9.5,24.0
Graduation,Couple,56181.0,0,1,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,0,SP,60,1,345,9.52,13.0
Basic,Couple,24279.0,0,0,6,16,36,21,20,62,108,1,4,1,3,8,0,0,0,0,0,0,0,SP,32,0,155,9.55,8.0
PhD,Couple,68462.0,0,0,6,561,64,785,84,128,48,1,3,3,8,1,0,0,0,0,0,0,0,SP,53,0,1622,9.59,14.0
PhD,Couple,55424.0,0,1,6,462,61,184,10,53,107,4,7,5,9,6,1,0,0,0,0,1,0,SP,46,1,770,9.64,21.0
Graduation,Couple,49094.0,0,1,6,376,0,38,11,8,69,5,6,3,6,6,0,0,0,0,0,0,0,SP,49,1,433,9.82,15.0
2n Cycle,Widow,59184.0,0,1,6,341,142,113,259,151,66,3,6,6,12,5,0,0,0,0,0,0,0,SP,61,1,1006,9.85,24.0
Graduation,Couple,67430.0,0,0,6,595,97,291,127,133,121,1,11,5,12,6,0,0,0,0,0,0,0,GER,35,0,1243,9.86,28.0
Master,Couple,30522.0,0,1,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,0,SP,62,1,300,9.91,12.0
2n Cycle,Single,31878.0,0,1,7,23,4,5,10,5,23,1,1,0,4,3,0,0,0,0,0,0,0,SP,45,1,47,8.07,5.0
Graduation,Single,83528.0,0,0,7,530,117,678,134,44,147,1,4,10,8,1,1,0,0,1,0,1,0,SP,30,0,1503,8.21,22.0
Graduation,Couple,90300.0,0,0,7,594,134,786,33,134,57,0,5,6,8,1,0,0,1,0,0,0,0,SP,43,0,1681,8.53,19.0
Master,Single,68092.0,0,0,7,852,60,207,78,36,48,2,2,6,10,5,0,0,0,0,0,0,0,SA,44,0,1233,8.58,18.0
Master,Couple,53761.0,1,1,7,158,0,76,13,7,71,6,4,4,3,5,0,0,0,0,0,0,0,AUS,50,2,254,8.76,11.0
Graduation,Couple,52845.0,1,0,7,384,25,292,130,41,64,3,8,8,6,6,1,0,0,0,0,0,0,SP,49,1,872,8.92,22.0
Graduation,Couple,24027.0,1,0,7,14,7,11,11,0,5,2,2,0,3,8,0,0,0,0,0,0,0,SP,46,1,43,9.1,5.0
2n Cycle,Couple,7500.0,1,0,7,2,8,11,3,8,21,4,3,2,2,7,0,0,0,0,0,0,0,IND,43,1,32,9.19,7.0
Graduation,Couple,42586.0,1,1,7,194,2,56,0,0,0,5,4,1,6,8,0,0,0,0,0,1,0,SP,67,2,252,9.71,11.0
Basic,Couple,9722.0,1,0,7,6,17,16,6,16,42,4,3,1,3,8,0,0,0,0,0,1,0,SP,49,1,61,9.79,7.0
PhD,Couple,86836.0,0,0,7,179,21,273,0,21,63,1,6,10,6,5,1,0,1,1,0,1,0,SP,47,0,494,9.84,22.0
Graduation,Couple,30467.0,1,0,8,1,3,8,2,5,5,1,1,0,2,7,0,0,0,0,0,0,0,CA,50,1,19,8.33,3.0
PhD,Couple,54549.0,0,1,8,216,2,6,0,0,9,2,5,1,4,7,0,0,0,0,0,0,0,SA,70,1,224,8.37,10.0
Graduation,Couple,19444.0,1,0,8,16,0,23,3,2,10,3,4,1,2,7,0,0,0,0,0,1,0,SA,40,1,44,8.39,7.0
Master,Couple,69245.0,0,1,8,428,30,214,80,30,61,2,6,5,10,3,0,0,0,0,0,0,0,SA,66,1,782,8.47,21.0
PhD,Divorced,72968.0,0,0,8,1092,37,592,145,37,55,1,5,5,8,3,0,0,0,1,0,1,0,SP,59,0,1903,8.58,18.0
