Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country,Age,Length_customer_yrs,Dependents,Total_Spent,Tot_Num_Purchases,Spent per purchase,Total_Accepted_Camp
1947,2n Cycle,Couple,81044.0,0,0,0,37.25,2.15,44.29,6.04,8.11,2.15,1,5,6,10,1,0,0,0,0,0,0,0,US,75,8.51,0,1208,21.0,57.52,0
1979,Master,Couple,62499.0,1,0,0,63.06,1.8,27.48,0.0,5.86,1.8,2,3,1,6,4,0,0,0,0,0,0,0,SP,43,8.56,1,222,10.0,22.2,0
1959,PhD,Widow,67786.0,0,0,0,37.28,7.09,38.15,6.92,1.73,8.82,1,3,6,6,1,0,0,0,0,0,1,0,IND,63,8.56,0,1156,15.0,77.07,0
1981,Graduation,Couple,26872.0,0,0,0,4.17,13.89,11.11,4.17,22.22,44.44,1,1,1,2,6,0,0,0,0,0,0,0,CA,41,8.71,0,72,4.0,18.0,0
1969,Graduation,Couple,4428.0,0,1,0,4.46,1.11,3.34,0.56,1.11,89.42,0,25,0,0,1,0,0,0,0,0,0,0,SP,53,8.74,1,359,25.0,14.36,0
1977,Graduation,Couple,54809.0,1,1,0,36.21,3.45,32.76,7.47,7.47,12.64,4,2,1,5,4,0,0,0,0,0,0,0,SP,45,8.8,2,174,8.0,21.75,0
1977,Graduation,Couple,54809.0,1,1,0,36.21,3.45,32.76,7.47,7.47,12.64,4,2,1,5,4,0,0,0,0,0,1,0,SP,45,8.8,2,174,8.0,21.75,0
1958,PhD,Divorced,32173.0,0,1,0,81.82,0.0,9.09,0.0,0.0,9.09,1,1,0,3,4,0,0,0,0,0,0,0,SP,64,8.92,1,22,4.0,5.5,0
1960,2n Cycle,Single,47823.0,0,1,0,73.61,1.39,6.94,2.78,1.39,13.89,2,2,0,3,8,0,0,0,0,0,0,0,CA,62,8.94,1,72,5.0,14.4,0
1958,Master,Single,30523.0,2,1,0,38.46,0.0,23.08,0.0,0.0,38.46,1,1,0,2,7,0,0,0,0,0,0,0,CA,64,9.0,3,13,3.0,4.33,0
1954,Master,Couple,36634.0,0,1,0,63.58,2.69,22.69,1.19,0.9,8.96,3,5,2,5,7,0,0,0,0,0,0,0,SA,68,9.09,1,335,12.0,27.92,0
1966,Master,Single,43456.0,0,1,0,69.97,2.8,17.3,6.36,1.78,1.78,3,5,1,8,5,0,0,0,0,0,0,0,IND,56,9.27,1,393,14.0,28.07,0
1979,Master,Couple,40662.0,1,0,0,43.48,2.17,25.0,0.0,4.35,25.0,2,2,1,3,4,0,0,0,0,0,0,0,GER,43,9.3,1,92,6.0,15.33,0
1976,PhD,Couple,49544.0,1,0,0,76.24,0.0,18.07,0.0,0.0,5.69,2,5,1,8,7,0,0,0,0,0,0,0,SP,46,9.38,1,404,14.0,28.86,0
1969,Graduation,Single,57731.0,0,1,0,37.78,2.98,42.61,9.23,1.14,6.25,4,8,8,6,6,0,0,0,0,0,0,0,IND,53,9.6,1,704,22.0,32.0,0
1965,Master,Single,33168.0,0,1,0,65.57,0.82,30.33,0.0,0.82,2.46,3,2,1,4,7,0,0,0,0,0,0,0,SP,57,9.72,1,122,7.0,17.43,0
1956,Graduation,Couple,54450.0,1,1,0,66.37,0.0,25.0,1.17,2.78,4.68,12,9,2,8,8,0,0,0,0,0,0,0,SP,66,9.79,2,684,19.0,36.0,0
1956,PhD,Widow,35340.0,1,1,1,60.0,0.0,26.67,0.0,2.22,11.11,2,2,0,3,5,0,0,0,0,0,0,0,SP,66,8.01,2,45,5.0,9.0,0
1975,Graduation,Single,73170.0,0,0,1,25.34,23.97,35.26,6.89,4.13,4.41,1,5,4,6,2,0,0,0,0,0,0,0,CA,47,8.08,0,726,15.0,48.4,0
1971,PhD,Divorced,65808.0,1,1,1,56.99,2.57,29.41,4.78,2.57,3.68,3,5,1,5,6,0,0,0,0,0,0,0,SP,51,8.09,2,272,11.0,24.73,0
1986,Graduation,Couple,79529.0,0,0,1,25.82,2.56,43.1,4.46,12.03,12.03,1,4,8,9,2,0,0,0,0,0,0,0,CA,36,8.18,0,1638,21.0,78.0,0
1972,PhD,Couple,34578.0,2,1,1,87.5,0.0,12.5,0.0,0.0,0.0,1,1,0,2,6,0,0,0,0,0,0,0,AUS,50,8.22,3,8,3.0,2.67,0
1974,PhD,Couple,46374.0,0,1,1,91.48,0.0,4.71,0.0,0.0,3.81,3,7,1,7,8,0,1,0,1,0,1,0,IND,48,8.29,1,446,15.0,29.73,2
1990,Graduation,Couple,18351.0,0,0,1,2.33,27.91,20.93,0.0,32.56,16.28,1,2,0,3,7,0,0,0,0,0,0,0,SP,32,8.67,0,43,5.0,8.6,0
1987,PhD,Single,95169.0,0,0,1,67.6,1.1,23.62,5.58,1.05,1.05,1,4,3,4,1,0,0,1,1,0,1,0,SP,35,8.73,0,1901,11.0,172.82,2
1984,2n Cycle,Couple,65370.0,0,0,1,15.4,4.77,24.3,29.93,19.31,6.29,1,2,3,13,1,0,0,0,0,0,0,0,SP,38,8.92,0,461,18.0,25.61,0
1960,Master,Divorced,39228.0,0,0,1,35.0,5.0,30.0,0.0,15.0,15.0,1,0,0,3,4,0,0,0,0,0,0,0,SA,62,9.14,0,20,3.0,6.67,0
1961,PhD,Single,84865.0,0,0,1,73.93,0.95,20.68,2.55,0.95,0.95,1,2,4,9,4,0,1,1,1,1,1,0,SP,61,9.15,0,1688,15.0,112.53,4
1968,Graduation,Couple,61314.0,0,1,1,37.5,0.0,18.75,9.62,17.06,17.06,2,5,5,12,3,0,0,0,0,0,0,0,SP,54,9.18,1,1008,22.0,45.82,0
1972,Graduation,Single,21359.0,1,0,1,25.0,4.17,35.42,12.5,2.08,20.83,2,2,0,3,8,0,0,0,0,0,1,0,CA,50,9.2,1,48,5.0,9.6,0
1955,PhD,Couple,66465.0,0,1,1,80.81,0.0,13.74,2.56,1.95,0.94,3,11,9,12,6,0,0,0,1,0,0,0,SP,67,9.25,1,1485,32.0,46.41,1
1983,2n Cycle,Single,81698.0,0,0,1,64.22,4.08,10.42,2.72,14.49,4.08,1,8,2,5,5,0,0,0,1,0,1,0,SP,39,9.33,0,1104,15.0,73.6,1
1986,Graduation,Single,39146.0,1,0,1,56.97,0.61,20.0,7.88,7.27,7.27,3,4,0,4,8,0,0,0,0,0,0,0,SP,36,9.38,1,165,8.0,20.62,0
1970,2n Cycle,Divorced,25959.0,1,1,1,7.14,3.57,21.43,12.5,8.93,46.43,2,1,2,2,6,0,0,0,0,0,1,0,SP,52,9.38,2,56,5.0,11.2,0
1961,Graduation,Couple,64260.0,0,0,1,34.24,10.74,51.84,1.27,0.0,1.91,1,4,5,4,3,0,0,0,0,0,1,0,SP,61,9.47,0,1574,13.0,121.08,0
1973,Graduation,Couple,32300.0,1,0,1,33.33,7.69,15.38,15.38,12.82,15.38,1,1,0,3,8,0,0,0,0,0,0,0,SP,49,9.49,1,39,4.0,9.75,0
1965,Master,Couple,74806.0,0,1,1,69.43,0.93,25.8,0.0,2.9,0.93,2,5,4,5,4,0,0,0,0,0,0,0,AUS,57,9.53,1,965,14.0,68.93,0
1970,Graduation,Divorced,72967.0,0,1,1,31.79,7.04,36.02,0.0,0.0,25.15,2,7,2,8,5,1,0,0,0,0,1,0,GER,52,9.54,1,497,17.0,29.24,1
1960,Graduation,Single,48904.0,0,1,1,76.28,2.7,10.24,0.0,3.5,7.28,4,7,2,4,8,0,0,0,0,0,0,0,US,62,9.58,1,371,13.0,28.54,0
1984,2n Cycle,Couple,14796.0,1,0,1,25.49,5.88,15.69,13.73,7.84,31.37,2,1,0,3,9,0,0,0,0,0,1,0,GER,38,9.79,1,51,4.0,12.75,0
1954,Master,Couple,66991.0,0,0,1,39.58,2.87,36.71,15.08,4.79,0.96,3,4,8,6,3,0,0,0,0,0,0,0,GER,68,9.8,0,1253,18.0,69.61,0
1978,2n Cycle,Single,52195.0,2,1,2,70.59,0.0,23.53,0.0,0.0,5.88,1,1,0,2,8,0,0,0,0,0,0,0,SA,44,8.14,3,17,3.0,5.67,0
1956,Graduation,Couple,90369.0,0,0,2,18.39,3.21,61.78,14.11,1.45,1.07,1,4,6,6,1,0,0,0,0,0,1,0,SP,66,8.18,0,1588,16.0,99.25,0
1974,Basic,Couple,18393.0,1,0,2,14.0,20.0,26.0,32.0,0.0,8.0,2,3,0,3,8,0,0,0,0,0,0,0,SP,48,8.26,1,50,6.0,8.33,0
1952,Graduation,Single,47139.0,1,1,2,55.42,0.0,14.46,0.0,2.41,27.71,2,2,1,2,7,0,0,0,0,0,1,0,SP,70,8.32,2,83,5.0,16.6,0
1973,Master,Couple,38576.0,0,1,2,82.93,0.0,17.07,0.0,0.0,0.0,1,1,0,3,7,0,0,0,0,0,0,0,IND,49,8.33,1,41,4.0,10.25,0
1975,PhD,Couple,61905.0,0,1,2,72.29,0.0,18.61,2.6,0.87,5.63,2,4,2,4,5,0,0,0,0,0,0,0,SA,47,8.4,1,231,10.0,23.1,0
1962,Graduation,Couple,83715.0,0,0,2,34.34,0.86,43.95,16.2,3.78,0.86,1,2,8,13,0,0,0,0,0,0,0,0,SA,60,8.41,0,926,23.0,40.26,0
1964,Graduation,Couple,60597.0,0,1,2,58.45,0.0,28.78,3.58,1.79,7.39,4,2,2,8,7,0,0,0,1,0,1,0,SP,58,8.5,1,893,12.0,74.42,1
1982,Master,Single,6560.0,0,0,2,17.96,2.95,6.97,1.07,0.8,70.24,0,1,0,1,17,0,0,0,0,0,0,0,SP,40,8.55,0,373,2.0,186.5,0
1961,Master,Couple,48330.0,0,1,2,87.5,0.0,12.5,0.0,0.0,0.0,1,1,0,3,5,0,0,0,0,0,0,0,SP,61,8.62,1,32,4.0,8.0,0
1968,PhD,Single,38236.0,1,1,2,65.91,0.0,20.45,2.27,0.0,11.36,4,3,0,4,7,0,0,0,0,0,0,0,SP,54,8.78,2,88,7.0,12.57,0
1977,Master,Couple,22701.0,1,0,2,8.33,16.67,37.5,0.0,16.67,20.83,1,1,0,3,5,0,0,0,0,0,0,0,SP,45,8.82,1,24,4.0,6.0,0
1974,Master,Divorced,53367.0,1,1,2,57.25,1.75,35.0,2.5,0.75,2.75,7,5,1,8,7,0,0,0,0,0,1,0,AUS,48,8.83,2,400,14.0,28.57,0
1986,Graduation,Couple,34728.0,1,0,2,38.89,0.0,44.44,0.0,0.0,16.67,1,1,1,2,6,0,0,0,0,0,1,0,SP,36,8.92,1,36,4.0,9.0,0
1956,Master,Couple,63915.0,0,2,2,78.83,0.89,14.58,3.8,0.0,1.9,2,6,3,12,5,0,0,0,0,0,0,0,AUS,66,8.92,2,789,21.0,37.57,0
1960,2n Cycle,Couple,82504.0,0,0,2,33.96,4.69,40.43,12.57,3.28,5.07,1,3,6,7,1,0,0,0,0,0,0,0,IND,62,8.93,0,1066,16.0,66.62,0
1972,PhD,Single,38578.0,1,1,2,52.05,5.48,30.14,4.11,4.11,4.11,3,3,0,3,8,0,0,0,0,0,1,0,SP,50,9.02,2,73,6.0,12.17,0
1972,PhD,Single,38578.0,1,1,2,52.05,5.48,30.14,4.11,4.11,4.11,3,3,0,3,8,0,0,0,0,0,0,0,SP,50,9.02,2,73,6.0,12.17,0
1975,PhD,Couple,79174.0,0,0,2,52.57,1.81,25.35,9.45,4.5,6.31,1,5,6,7,2,0,0,1,1,0,1,0,CA,47,9.47,0,2043,18.0,113.5,2
1962,2n Cycle,Divorced,81975.0,0,1,2,61.9,4.79,11.59,11.34,8.69,1.7,1,6,3,4,7,0,0,1,0,0,0,0,SA,60,9.48,1,1588,13.0,122.15,1
1977,Master,Couple,43263.0,0,1,2,59.41,1.36,13.83,0.0,2.27,23.13,3,5,2,6,5,0,0,0,0,0,0,0,SP,45,9.61,1,441,13.0,33.92,0
1970,Graduation,Single,27242.0,1,0,2,2.83,16.04,24.53,18.87,0.94,36.79,2,2,0,3,9,0,0,0,0,0,1,0,IND,52,9.64,1,106,5.0,21.2,0
1971,Graduation,Couple,76445.0,1,0,2,52.41,7.59,21.91,9.93,5.67,2.48,1,2,5,13,6,0,0,0,0,0,0,0,SA,51,9.76,1,1410,20.0,70.5,0
1965,Graduation,Couple,75276.0,0,0,2,58.65,10.1,12.02,13.17,4.04,2.02,1,9,4,9,5,0,0,0,0,0,0,0,SP,57,9.76,0,1040,22.0,47.27,0
1963,Graduation,Widow,34213.0,1,1,2,42.74,3.42,23.93,5.13,2.56,22.22,3,3,1,2,9,0,0,0,0,0,1,0,SA,59,9.81,2,117,6.0,19.5,0
1976,PhD,Couple,72335.0,0,0,2,61.42,5.02,31.21,1.34,1.0,0.0,1,10,4,8,8,0,0,0,0,0,1,0,SP,46,9.88,0,2092,22.0,95.09,0
1964,Master,Couple,79143.0,0,0,2,38.39,2.19,46.07,1.59,9.86,1.89,1,6,9,13,3,0,0,0,0,0,0,0,AUS,58,9.89,0,1693,28.0,60.46,0
1947,Graduation,Couple,27469.0,0,0,2,52.94,5.88,11.76,17.65,11.76,0.0,1,0,0,3,6,0,0,0,0,0,0,0,CA,75,9.91,0,17,3.0,5.67,0
1969,Graduation,Couple,68695.0,0,0,3,41.98,7.42,32.63,9.72,4.58,3.67,1,4,4,7,2,0,0,0,0,0,0,0,SP,53,8.02,0,1091,15.0,72.73,0
1969,Graduation,Couple,68695.0,0,0,3,41.98,7.42,32.63,9.72,4.58,3.67,1,4,4,7,2,0,0,0,0,0,0,0,CA,53,8.02,0,1091,15.0,72.73,0
1957,Graduation,Single,50388.0,0,1,3,78.49,1.61,9.95,0.0,0.81,9.14,4,6,1,6,7,0,1,0,1,0,1,0,GER,65,8.09,1,372,13.0,28.62,2
1970,PhD,Couple,77622.0,0,2,3,72.83,0.98,21.57,2.66,0.0,1.96,2,6,3,11,3,0,0,0,0,0,0,0,SA,52,8.21,2,714,20.0,35.7,0
1962,Graduation,Divorced,46102.0,2,1,3,87.5,0.0,6.25,0.0,0.0,6.25,1,1,0,2,7,0,0,0,0,0,0,0,SP,60,8.31,3,16,3.0,5.33,0
1980,2n Cycle,Single,31859.0,1,0,3,6.25,8.33,14.58,31.25,16.67,22.92,1,1,0,3,7,0,0,0,0,0,0,0,SP,42,8.34,1,48,4.0,12.0,0
1987,2n Cycle,Single,23830.0,0,0,3,2.33,18.6,13.95,9.3,18.6,37.21,1,1,0,3,7,0,0,0,0,0,0,0,SP,35,8.39,0,43,4.0,10.75,0
1973,Graduation,Couple,24639.0,1,1,3,45.45,6.82,36.36,0.0,9.09,2.27,3,2,0,4,6,0,0,0,0,0,0,0,AUS,49,8.42,2,44,6.0,7.33,0
1945,PhD,Couple,71604.0,0,0,3,28.85,4.43,44.15,8.19,6.27,8.11,1,8,3,5,4,1,0,0,0,0,1,0,SP,77,8.62,0,1196,16.0,74.75,1
1984,Graduation,Couple,27255.0,1,0,3,59.46,2.7,29.73,0.0,2.7,5.41,1,1,0,3,7,0,0,0,0,0,0,0,SP,38,8.65,1,37,4.0,9.25,0
1977,Graduation,Couple,55375.0,0,1,3,25.93,6.79,35.19,6.17,17.28,8.64,1,1,1,6,2,0,0,0,0,0,0,0,CA,45,8.7,1,162,8.0,20.25,0
1960,PhD,Couple,77037.0,0,1,3,41.23,8.55,29.65,14.96,4.72,0.89,1,7,7,12,3,0,0,0,0,0,0,0,SP,62,8.72,1,1123,26.0,43.19,0
1970,Graduation,Single,24163.0,1,1,3,23.53,5.88,41.18,11.76,5.88,11.76,2,1,0,3,4,0,0,0,0,0,0,0,SP,52,8.72,2,17,4.0,4.25,0
1969,PhD,Couple,69476.0,0,0,3,24.9,8.24,53.54,6.03,0.86,6.42,1,4,6,4,2,0,0,0,0,0,0,0,US,53,8.75,0,1044,14.0,74.57,0
1979,Graduation,Couple,72063.0,0,1,3,23.75,4.22,45.91,10.03,4.22,11.87,2,5,2,12,2,0,0,0,0,0,0,0,GER,43,8.99,1,758,19.0,39.89,0
1962,Master,Couple,58646.0,0,1,3,44.29,0.71,31.43,4.29,3.57,15.71,1,2,1,4,4,0,0,0,0,0,0,0,SP,60,9.06,1,140,7.0,20.0,0
1962,Master,Couple,58646.0,0,1,3,44.29,0.71,31.43,4.29,3.57,15.71,1,2,1,4,4,0,0,0,0,0,0,0,GER,60,9.06,1,140,7.0,20.0,0
1949,Master,Widow,47570.0,1,1,3,55.37,0.83,16.53,0.0,1.65,25.62,3,2,2,2,7,0,0,0,0,0,1,0,US,73,9.09,2,121,6.0,20.17,0
1980,Graduation,Couple,80011.0,0,1,3,30.18,5.45,38.42,5.88,12.76,7.31,2,8,6,5,4,0,0,0,0,0,0,0,AUS,42,9.17,1,1395,19.0,73.42,0
1956,PhD,Single,54998.0,0,1,3,33.85,4.84,44.4,8.57,6.59,1.76,5,4,2,9,4,0,0,0,0,0,1,0,SP,66,9.31,1,455,15.0,30.33,0
1948,PhD,Single,60200.0,0,1,3,73.28,2.77,19.27,0.0,0.88,3.8,6,6,2,11,6,0,0,0,0,0,0,0,SP,74,9.49,1,685,19.0,36.05,0
1982,Graduation,Couple,63211.0,0,0,3,12.36,16.45,39.13,17.48,2.22,12.36,2,3,8,7,2,0,0,0,0,0,1,0,SP,40,9.66,0,1173,18.0,65.17,0
1973,PhD,Single,48432.0,0,1,3,75.94,0.71,11.79,0.94,0.71,9.91,5,7,1,6,8,0,0,0,0,0,1,0,SA,49,9.7,1,424,14.0,30.29,0
1973,PhD,Single,48432.0,0,1,3,75.94,0.71,11.79,0.94,0.71,9.91,5,7,1,6,8,0,0,0,0,0,0,0,CA,49,9.7,1,424,14.0,30.29,0
1973,PhD,Single,48432.0,0,1,3,75.94,0.71,11.79,0.94,0.71,9.91,5,7,1,6,8,0,0,0,0,0,1,0,IND,49,9.7,1,424,14.0,30.29,0
1949,Master,Couple,62845.0,1,1,3,93.29,0.0,3.82,0.0,0.0,2.89,11,3,4,10,8,0,1,0,0,0,0,0,SP,73,9.75,2,1178,17.0,69.29,1
1949,Master,Couple,62845.0,1,1,3,93.29,0.0,3.82,0.0,0.0,2.89,11,3,4,10,8,0,1,0,0,0,1,0,SP,73,9.75,2,1178,17.0,69.29,1
1965,PhD,Couple,65220.0,0,0,3,69.42,4.91,22.78,0.0,1.95,0.94,4,8,4,7,6,0,0,0,0,0,1,0,GER,57,9.82,0,1282,19.0,67.47,0
1990,PhD,Couple,74214.0,0,0,3,50.44,4.85,31.97,5.03,5.79,1.93,1,8,2,5,5,0,0,0,0,0,0,0,SP,32,9.85,0,1711,15.0,114.07,0
1980,2n Cycle,Couple,96547.0,0,0,4,55.38,2.6,15.45,6.43,12.48,7.66,0,7,6,8,2,1,0,1,1,0,1,0,SP,42,8.11,0,809,21.0,38.52,3
1955,Graduation,Couple,53863.0,0,1,4,84.36,0.85,6.34,1.27,0.85,6.34,3,7,1,7,7,0,1,0,0,0,0,0,SP,67,8.12,1,473,15.0,31.53,1
1970,Graduation,Couple,50447.0,2,0,4,57.43,4.73,16.22,1.35,2.03,18.24,1,3,1,3,6,0,0,0,0,0,0,0,IND,52,8.19,2,148,7.0,21.14,0
1953,Graduation,Couple,37716.0,0,1,4,51.6,0.53,21.81,3.19,1.06,21.81,2,4,1,3,7,0,0,0,0,0,0,0,AUS,69,8.19,1,188,8.0,23.5,0
1982,Graduation,Couple,45203.0,2,0,4,23.81,2.04,45.58,6.8,5.44,16.33,1,3,1,3,6,0,0,0,0,0,1,0,SA,40,8.27,2,147,7.0,21.0,0
1975,Master,Couple,37368.0,1,0,4,10.0,6.67,36.67,6.67,6.67,33.33,1,1,0,2,6,1,0,0,0,0,0,0,SP,47,8.54,1,30,3.0,10.0,1
1955,Graduation,Couple,67225.0,0,1,4,36.29,4.03,37.1,5.3,0.81,16.47,3,7,2,11,5,0,0,0,0,0,0,0,US,67,8.59,1,868,20.0,43.4,0
1976,Master,Couple,65104.0,0,1,4,70.09,0.0,22.03,1.23,1.9,4.75,2,3,5,7,7,0,0,0,0,0,1,0,CA,46,8.63,1,1053,15.0,70.2,0
1976,Master,Couple,65104.0,0,1,4,70.09,0.0,22.03,1.23,1.9,4.75,2,3,5,7,7,0,0,0,0,0,0,0,SP,46,8.63,1,1053,15.0,70.2,0
1949,Master,Couple,81698.0,0,0,4,17.76,2.78,51.59,11.01,12.2,4.66,1,3,8,13,1,0,0,0,0,0,1,0,SP,73,8.65,0,1008,24.0,42.0,0
1968,Graduation,Single,70566.0,0,1,4,50.33,3.7,28.4,11.1,3.7,2.77,2,6,5,9,3,0,0,0,0,0,0,0,SP,54,8.73,1,757,20.0,37.85,0
1958,Graduation,Couple,69096.0,0,1,4,37.83,7.5,24.35,1.07,12.56,16.69,1,5,2,10,4,0,0,0,0,0,0,0,GER,64,8.76,1,653,17.0,38.41,0
1962,Graduation,Couple,71434.0,0,1,4,50.79,2.57,15.5,12.29,6.86,12.0,3,7,4,7,4,0,1,0,1,0,0,0,SP,60,8.78,1,1400,18.0,77.78,2
1978,Graduation,Couple,33039.0,1,0,4,38.46,10.26,15.38,10.26,10.26,15.38,1,2,0,4,5,0,0,0,0,0,0,0,SP,44,8.81,1,78,6.0,13.0,0
1978,Graduation,Couple,33039.0,1,0,4,38.46,10.26,15.38,10.26,10.26,15.38,1,2,0,4,5,0,0,0,0,0,0,0,CA,44,8.81,1,78,6.0,13.0,0
1958,Graduation,Couple,46610.0,0,0,4,61.67,2.14,6.42,0.86,2.14,26.77,1,6,1,6,6,0,0,0,0,0,0,0,SP,64,8.95,0,467,13.0,35.92,0
1958,Graduation,Single,49967.0,0,1,4,69.28,1.96,22.55,1.31,3.92,0.98,3,6,1,5,7,0,0,0,0,0,0,0,CA,64,8.98,1,306,12.0,25.5,0
1976,Graduation,Couple,53359.0,1,1,4,67.32,1.56,11.67,1.17,2.33,15.95,4,5,1,4,7,0,0,0,0,0,0,0,US,46,9.1,2,257,10.0,25.7,0
1971,Master,Couple,49505.0,1,1,4,80.43,0.0,13.32,2.53,0.0,3.73,9,10,2,8,8,0,0,0,0,0,0,0,SP,51,9.32,2,751,20.0,37.55,0
1946,Master,Couple,68657.0,0,0,4,40.3,2.84,39.38,9.95,5.69,1.84,1,3,5,9,7,0,0,0,0,0,0,0,AUS,76,9.36,0,1196,17.0,70.35,0
1954,Graduation,Divorced,72071.0,0,1,4,39.69,5.16,22.42,11.21,10.31,11.21,3,5,4,8,2,0,0,0,0,0,0,0,SP,68,9.38,1,1338,17.0,78.71,0
1954,Graduation,Divorced,72071.0,0,1,4,39.69,5.16,22.42,11.21,10.31,11.21,3,5,4,8,2,0,0,0,0,0,0,0,CA,68,9.38,1,1338,17.0,78.71,0
1967,Master,Single,59235.0,1,0,4,39.72,3.55,41.58,7.09,0.0,8.07,3,11,2,12,7,0,0,0,0,0,0,0,IND,55,9.47,1,1128,25.0,45.12,0
1957,Graduation,Couple,21994.0,0,1,4,40.91,0.0,27.27,13.64,4.55,13.64,1,0,0,3,5,0,0,0,0,0,0,0,AUS,65,9.52,1,22,3.0,7.33,0
1957,Graduation,Couple,21994.0,0,1,4,40.91,0.0,27.27,13.64,4.55,13.64,1,0,0,3,5,0,0,0,0,0,0,0,SP,65,9.52,1,22,3.0,7.33,0
1957,PhD,Couple,51411.0,2,1,4,38.14,6.97,31.84,8.13,6.14,8.79,12,7,2,8,9,0,0,0,0,0,0,0,GER,65,9.61,3,603,17.0,35.47,0
1972,Graduation,Couple,69209.0,0,0,4,27.83,1.8,47.64,12.85,2.69,7.18,2,5,3,6,4,0,0,0,1,0,0,0,CA,50,9.79,0,1782,14.0,127.29,1
1989,Graduation,Couple,31928.0,1,0,5,45.83,5.56,33.33,5.56,2.78,6.94,2,3,0,4,7,0,0,0,0,0,0,0,IND,33,8.26,1,72,7.0,10.29,0
1987,PhD,Single,74004.0,0,0,5,47.29,2.9,33.78,2.53,10.62,2.9,1,4,6,4,3,0,0,1,1,0,1,0,IND,35,8.35,0,1658,14.0,118.43,2
1987,2n Cycle,Couple,30390.0,0,0,5,12.5,15.0,15.0,31.25,1.25,25.0,1,2,0,3,6,0,0,0,0,0,0,0,IND,35,8.83,0,80,5.0,16.0,0
1985,Graduation,Couple,21355.0,1,0,5,7.35,19.12,20.59,0.0,7.35,45.59,2,2,1,2,6,1,0,0,0,0,1,0,US,37,8.86,1,68,5.0,13.6,1
1969,Graduation,Couple,26304.0,1,0,5,25.0,6.25,31.25,12.5,0.0,25.0,1,1,0,2,7,0,0,0,0,0,0,0,GER,53,9.02,1,16,3.0,5.33,0
1989,2n Cycle,Couple,85710.0,0,0,5,56.5,1.88,32.96,2.73,2.82,3.11,1,6,9,10,2,0,0,1,0,0,0,0,IND,33,9.16,0,1062,25.0,42.48,1
1974,Graduation,Divorced,102692.0,0,0,5,15.11,13.31,39.93,2.88,15.47,13.31,1,6,9,13,2,0,1,1,1,1,1,0,SA,48,9.24,0,1112,28.0,39.71,4
1971,Graduation,Single,58350.0,0,1,5,49.25,2.6,20.58,11.59,7.99,7.99,4,8,3,12,6,0,0,0,0,0,0,0,SP,51,9.49,1,1001,23.0,43.52,0
1978,Graduation,Single,7500.0,1,1,5,10.53,8.77,7.02,22.81,7.02,43.86,4,2,1,3,6,0,0,0,0,0,0,0,SP,44,9.51,2,57,6.0,9.5,0
